,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,滋賀県,51,599,8.5%
2,京都府,210,2275,9.2%
3,大阪府　※1,895,3140,28.5%
4,兵庫県,403,4403,9.2%
5,奈良県,47,641,7.3%
6,和歌山県,35,2119,1.7%
7,鳥取県,1,432,0.2%
8,島根県,10,442,2.3%
9,岡山県,16,688,2.3%
10,広島県　※2,66,2276,2.9%
11,山口県,25,738,3.4%
12,徳島県,3,248,1.2%
13,香川県　※2,20,637,3.1%
14,愛媛県,39,653,6.0%
15,高知県,60,935,6.4%
16,福岡県,403,5195,7.8%
17,佐賀県,15,422,3.6%
18,長崎県,14,1142,1.2%
19,熊本県,29,1944,1.5%
20,大分県,43,2172,2.0%
21,宮崎県,17,733,2.3%
22,鹿児島県 ※2,4,628,0.6%
23,沖縄県,76,856,8.9%
24,合計,"7,964","76,425",10.4%
