,0,1,2,3
,都道府県名,陽性者数,検査人数,%
,北海道 ,1984,53764,3.7
,青 森 ,35,2296,1.5
,岩手 ,23,3968,0.6
,宮城 ,372,9840,3.8
,秋 田 ,53,2072,2.6
,山形 ,78,5062,1.5
,福島 ,228,18556,1.2
,茨城 ,630,12210,5.2
,栃木 ,408,28406,1.4
,群馬 ,684,19242,3.6
,埼玉 ,4474,133413,3.4
,千葉 ,3689,76502,4.8
,東京 ,24453,422165,5.8
,神奈川 ,6452,142882,4.5
,新潟 ,165,14702,1.1
,富山 ,410,11616,3.5
,石川 ,761,11892,6.4
,福井 ,244,9529,2.6
,山梨 ,180,10396,1.7
,長野 ,303,18172,1.7
,岐阜 ,603,21299,2.8
,静岡 ,522,31929,1.6
,愛知 ,5131,69800,7.4
,三重 ,480,11959,4.0
,滋賀 ,481,11287,4.3
,京都 ,1702,40149,4.2
,大阪 ,10205,172384,5.9
,兵庫 ,2615,53368,4.9
,奈良 ,558,19513,2.9
,和歌山 ,238,9083,2.6
,鳥取 ,36,5375,0.7
,島根 ,137,5320,2.6
,岡山 ,148,7861,1.9
,広島 ,487,19769,2.5
,山口 ,195,9065,2.2
,徳島 ,147,6794,2.2
,香川 ,93,10138,0.9
,愛媛 ,114,4002,2.8
,高知 ,137,3405,4.0
,福岡 ,5006,46705,10.7
,佐賀 ,244,5706,4.3
,長崎 ,236,17442,1.4
,熊本 ,571,16092,3.5
,大分 ,158,15659,1.0
,宮崎 ,344,8497,4.0
,鹿児島 ,377,17910,2.1
,沖縄 ,2376,36832,6.5
,(その他)※3 ,149,0,-
,合計 ,79116,1684028,4.7
