,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,滋賀,94,"1,141",8.2%
2,京都,294,"3,614",8.1%
3,"大阪
※1
(3/21～）","1,493 
(1,368)","6,937",19.7%
4,"兵庫
※3",627,"6,831",9.2%
5,奈良,76,"1,173",6.5%
6,和歌山,58,"2,563",2.3%
7,"鳥取
※3",3,971,0.3%
8,島根,22,757,2.9%
9,岡山,22,"1,041",2.1%
10,"広島
※3",145,"4,245",3.4%
11,山口,31,"1,251",2.5%
12,徳島,5,386,1.3%
13,"香川
※3",28,"1,427",2.0%
14,愛媛,47,"1,002",4.7%
15,"高知
※3",73,"1,344",5.4%
16,福岡,606,"8,000",7.6%
17,佐賀,36,750,4.8%
18,長崎,16,"1,728",0.9%
19,熊本,45,"2,623",1.7%
20,大分,60,"2,910",2.1%
21,宮崎,17,"1,010",1.7%
22,"鹿児島
※3",10,"1,109",0.9%
23,沖縄,133,"1,715",7.8%
24,"長崎船
※5
その他",148,,
25,"合計
※4","13,232 
(12,992)","124,456",10.4%
