,0,1,2,3,4
0,,都道府県名 陽性者数 検査人数,,％,備考
1,北海道,226,2488,9.1% 4/8時点,
2,青森県,14,278,5.0%,
3,岩手県,0,127,0.0%,
4,宮城県,36,558,6.5%,
5,秋田県,11,484,2.3%,
6,山形県,27,663,4.1% 4/8時点,
7,福島県,33,482,6.8%,
8,茨城県,81,2140,3.8%,
9,栃木県,31,871,3.6%,
10,群馬県,33,1466,2.3%,
11,埼玉県,271,1934,14.0% HP,
12,千葉県,342,1500,22.8% ※1,
13,東京都,1528,4992,30.6% 4/8時点,
14,神奈川県,375,2203,,17.0% ※1 4/8時点
15,新潟県,39,1443,2.7%,
16,富山県,16,602,2.7%,
17,石川県,72,494,14.6%,
18,福井県,72,455,15.8%,
19,山梨県,24,946,2.5%,
20,長野県,21,841,2.5%,
21,岐阜県,76,1110,6.8%,
22,静岡県,16,1389,1.2%,
23,愛知県,299,3467,8.6% 4/8時点,
24,三重県,15,861,1.7%,
