,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,滋賀県,57,715,8.0%
2,京都府,225,2464,9.1%
3,"大阪府　※1
(3/21～）",1021,3903,23.0%
5,兵庫県,453,4851,9.3%
6,奈良県,54,733,7.4%
7,和歌山県,38,2239,1.7%
8,鳥取県,1,477,0.2%
9,島根県,14,558,2.5%
10,岡山県,18,748,2.4%
11,広島県　※3,118,2733,4.3%
12,山口県,29,885,3.3%
13,徳島県,3,277,1.1%
14,香川県　※3,21,833,2.5%
15,愛媛県,41,708,5.8%
16,高知県,62,1039,6.0%
17,福岡県,459,6110,7.5%
18,佐賀県,15,489,3.1%
19,長崎県,16,1258,1.3%
20,熊本県,31,2131,1.5%
21,大分県,50,2325,2.2%
22,宮崎県,17,802,2.1%
23,鹿児島県 ※2,4,657,0.6%
24,沖縄県,86,1025,8.4%
25,合計　※4,"9,027  
(8,787)","86,800",10.1%
