,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,北海道,336,3625,9.3%
2,青森県,22,447,4.9%
3,岩手県　※3,0,205,0.0%
4,宮城県,75,1109,6.8%
5,秋田県,16,688,2.3%
6,山形県,50,1276,3.9%
7,福島県　※3,49,924,5.3%
8,茨城県,123,2883,4.3%
9,栃木県,42,1233,3.4%
10,群馬県,109,1924,5.7%
11,埼玉県　※3,535,3836,13.9%
12,"千葉県　※1
(3/21～）",539,3006,16.4%
14,東京都　※2,2606,6814,38.2%
15,"神奈川県 ※1
(3/23～）",673,3682,16.4%
17,新潟県,47,1910,2.5%
18,富山県,65,1177,5.5%
19,石川県,146,903,16.2%
20,福井県,103,918,11.2%
21,山梨県,43,1367,3.1%
22,長野県,45,1219,3.7%
23,岐阜県,132,1727,7.6%
24,静岡県,48,1867,2.6%
25,愛知県　※3,364,5008,7.3%
26,三重県,26,1092,2.4%
