,0,1,2,3,4
0,,都道府県名 陽性者数 検査人数,,％,備考
1,滋賀県,38,487,,7.8% 4/10時点
2,京都府,193,1968,,9.8% 4/10時点
3,大阪府,812,2362,34.4%,
4,兵庫県,375,3830,9.8%,
5,奈良県,41,539,7.6%,
6,和歌山県,34,1989,1.7% HP,
7,鳥取県,1,299,,0.3% 4/10時点
8,島根県,7,205,,3.4% 4/10時点
9,岡山県,16,595,,2.7% 4/9時点
10,広島県,56,1754,3.2% HP,
11,山口県,23,557,,4.1% 4/10時点
12,徳島県,3,228,,1.3% 4/10時点
13,香川県,8,480,,1.7% 4/10時点
14,愛媛県,30,545,,5.5% 4/10  9:00時点
15,高知県,60,814,7.4%,
16,福岡県,362,4137,8.8%,
17,佐賀県,13,367,3.5%,
18,長崎県,14,933,,1.5% 4/10時点
19,熊本県,28,1728,1.6%,
20,大分県,42,2070,,2.0% 4/10時点
21,宮崎県,17,612,2.8%,
22,鹿児島県,4,523,,0.8% 4/10時点
23,沖縄県,66,680,,9.7% 4/10時点
24,合計,"7,123","63,132",11.3%,
