,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,滋賀,96,"1,314",7.3%
2,京都,328,"4,343",7.6%
3,"大阪
※1
(3/21～）","1,658 
(1,533)","12,492",12.3%
4,"兵庫
※3",654,"7,891",8.3%
5,奈良,86,"1,605",5.4%
6,和歌山,62,"3,077",2.0%
7,"鳥取
※3",3,"1,092",0.3%
8,島根,23,830,2.8%
9,岡山,23,"1,131",2.0%
10,"広島
※3",161,"5,037",3.2%
11,山口,34,"1,290",2.6%
12,徳島,5,469,1.1%
13,"香川
※3",28,"1,643",1.7%
14,愛媛,47,"1,116",4.2%
15,"高知
※3",74,"1,461",5.1%
16,福岡,648,"9,400",6.9%
17,佐賀,42,"1,077",3.9%
18,長崎,17,"2,050",0.8%
19,熊本,47,"3,178",1.5%
20,大分,60,"3,175",1.9%
21,宮崎,17,"1,122",1.5%
22,"鹿児島
※3",10,"1,287",0.8%
23,"沖縄
※3",142,"2,211",6.4%
24,"長崎船
※5
その他",148,623,23.8%
25,"合計
※4","14,677 
(14,437)","153,047",9.4%
