,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,滋賀県,52,636,8.2%
2,京都府,215,2362,9.1%
3,"大阪府　※1
(3/21～）","969 
(844)",3504,24.1%
4,兵庫県,423,4640,9.1%
5,奈良県,53,676,7.8%
6,和歌山県,37,2197,1.7%
7,鳥取県,1,446,0.2%
8,島根県,13,517,2.5%
9,岡山県,16,722,2.2%
10,広島県　※3,67,2334,2.9%
11,山口県,28,773,3.6%
12,徳島県,3,259,1.2%
13,香川県　※3,20,721,2.8%
14,愛媛県,40,680,5.9%
15,高知県,62,1007,6.2%
16,福岡県,433,5667,7.6%
17,佐賀県,17,451,3.8%
18,長崎県,15,1221,1.2%
19,熊本県,31,2056,1.5%
20,大分県,50,2239,2.2%
21,宮崎県,17,790,2.2%
22,鹿児島県 ※2,4,699,0.6%
23,沖縄県,86,931,9.2%
24,合計　※4,"8,442  
(8,212)","81,825",10.0%
