,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,滋賀,96,"1,246",7.7%
2,京都,316,"3,950",8.0%
3,"大阪
※1
(3/21～）","1,599 
(1,474)","8,186",18.0%
4,"兵庫
※3",642,"7,076",9.1%
5,奈良,82,"1,397",5.9%
6,和歌山,60,"2,906",2.1%
7,"鳥取
※3",3,"1,003",0.3%
8,島根,23,806,2.9%
9,岡山,23,"1,141",2.0%
10,"広島
※3",153,"4,610",3.3%
11,山口,32,"1,265",2.5%
12,徳島,5,440,1.1%
13,"香川
※3",28,"1,537",1.8%
14,愛媛,47,"1,043",4.5%
15,"高知
※3",74,"1,398",5.3%
16,福岡,639,"8,736",7.3%
17,佐賀,38,950,4.0%
18,長崎,17,"1,911",0.9%
19,熊本,47,"3,002",1.6%
20,大分,60,"3,065",2.0%
21,宮崎,17,"1,068",1.6%
22,"鹿児島
※3",10,"1,199",0.8%
23,"沖縄
※3",141,"1,918",7.4%
24,"長崎船
※5
その他",148,,
25,"合計
※4","13,929 
(13,689)","137,338",10.0%
