,0,1,2,3,4
0,,都道府県名 陽性者数 検査人数,,％,備考
1,北海道,272,3257,8.4%,
2,青森県,22,391,5.6%,
3,岩手県,0,155,0.0%,
4,宮城県,54,816,6.6%,
5,秋田県,15,555,2.7%,
6,山形県,35,932,3.8%,
7,福島県,38,701,5.4%,
8,茨城県,110,2501,4.4%,
9,栃木県,36,1082,3.3%,
10,群馬県,91,1717,5.3%,
11,埼玉県,414,2415,17.1% HP,
12,千葉県,474,2329,20.4%,
13,東京都,2171,6327,34.3%,
14,神奈川県,572,3116,18.4%,
15,新潟県,42,1670,2.5%,
16,富山県,49,910,5.4%,
17,石川県,121,718,16.9%,
18,福井県,92,710,13.0%,
19,山梨県,35,1157,3.0%,
20,長野県,34,1068,3.2%,
21,岐阜県,112,1442,7.8%,
22,静岡県,46,1606,2.9%,
23,愛知県,328,4201,7.8%,
24,三重県,17,995,1.7%,
