,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,北海道,914,"7,054",13.0%
2,青森,26,643,4.0%
3,"岩手
※3",0,384,0.0%
4,宮城,88,"1,910",4.6%
5,秋田,16,852,1.9%
6,山形,69,"2,246",3.1%
7,"福島
※3",79,"2,094",3.8%
8,茨城,168,"4,835",3.5%
9,栃木,54,"2,015",2.7%
10,"群馬
※6
(～4/29)","147 
146",2596,5.6%
11,"埼玉
※3",909,"9,324",9.7%
12,"千葉
※1
(3/21～）","837 
(792)","6,374",12.4%
13,"東京
※2※3","4,765","12,841",37.1%
14,"神奈川
※1
(3/23～）","1,132 
(1,062)","6,002",17.7%
15,新潟,78,"3,044",2.6%
16,富山,219,"2,392",9.2%
17,石川,271,"1,977",13.7%
18,福井,122,"1,771",6.9%
19,山梨,56,"2,358",2.4%
20,長野,73,"1,818",4.0%
21,岐阜,150,"2,404",6.2%
22,静岡,73,"2,780",2.6%
23,"愛知
※3",498,"7,846",6.3%
24,三重,45,"1,938",2.3%
