,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,北海道,495,"4,803",10.3%
2,青森,22,501,4.4%
3,"岩手
※3",0,256,0.0%
4,宮城,84,"1,438",5.8%
5,秋田,16,767,2.1%
6,山形,65,"1,759",3.7%
7,"福島
※3",65,"1,238",5.3%
8,茨城,151,"3,687",4.1%
9,栃木,52,"1,560",3.3%
10,群馬,131,"2,290",5.7%
11,"埼玉
※3",714,"5,432",13.1%
12,"千葉
※1
(3/21～）","725 
(680)","4,284",15.9%
13,"東京
※2","3,452","8,959",38.5%
14,"神奈川
※1
(3/23～）","841 
(771)","4,628",16.7%
15,新潟,61,"2,283",2.7%
16,富山,115,"1,633",7.0%
17,石川,199,"1,244",16.0%
18,福井,119,"1,233",9.7%
19,山梨,51,"1,813",2.8%
20,長野,56,"1,468",3.8%
21,岐阜,143,"2,197",6.5%
22,静岡,57,"2,292",2.5%
23,"愛知
※3",441,"6,033",7.3%
24,三重,43,"1,494",2.9%
