,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,北海道,615,"5,362",11.5%
2,青森,22,540,4.1%
3,"岩手
※3",0,300,0.0%
4,宮城,85,"1,568",5.4%
5,秋田,16,786,2.0%
6,山形,66,"1,947",3.4%
7,"福島
※3",69,"1,585",4.4%
8,茨城,161,"4,031",4.0%
9,栃木,52,"1,673",3.1%
10,群馬,141,"2,448",5.8%
11,"埼玉
※3",806,"6,256",12.9%
12,"千葉
※1
(3/21～）","786 
(741)","5,163",14.4%
13,"東京
※2","3,922","9,827",39.9%
14,"神奈川
※1
(3/23～）","959 
(889)","5,075",17.5%
15,新潟,69,"2,491",2.8%
16,富山,177,"1,885",9.4%
17,石川,229,"1,424",16.1%
18,福井,121,"1,313",9.2%
19,山梨,51,"1,922",2.7%
20,長野,66,"1,553",4.2%
21,岐阜,146,"2,272",6.4%
22,静岡,63,"2,366",2.7%
23,"愛知
※3",476,"6,488",7.3%
24,三重,45,"1,653",2.7%
