,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,滋賀,76,937,8.1%
2,京都,264,"2,883",9.2%
3,"大阪
※1
(3/21～）","1,351 
(1,226)","5,368",22.8%
4,兵庫,546,"5,714",9.6%
5,奈良,73,"1,020",7.2%
6,和歌山,47,"2,381",2.0%
7,鳥取,3,794,0.4%
8,島根,16,697,2.3%
9,岡山,19,992,1.9%
10,"広島
※3",138,"3,583",3.9%
11,山口,31,"1,130",2.7%
12,徳島,5,341,1.5%
13,香川,26,"1,273",2.0%
14,愛媛,47,893,5.3%
15,高知,69,"1,181",5.8%
16,福岡,539,"7,311",7.4%
17,佐賀,17,602,2.8%
18,長崎,17,"1,551",1.1%
19,熊本,41,"2,465",1.7%
20,大分,60,"2,691",2.2%
21,宮崎,17,943,1.8%
22,"鹿児島
※3",10,852,1.2%
23,沖縄,125,"1,420",8.8%
24,"合計
※4","11,350 
(11,110)","107,430",10.3%
