,0,1,2,3,4
0,,都道府県名 陽性者数 検査人数,,％,備考
1,滋賀県,24,409,5.9%,
2,京都府,149,1787,8.3%,
3,大阪府,525,1792,29.3% ※1,
4,兵庫県,216,3327,6.5%,
5,奈良県,30,482,6.2%,
6,和歌山県,29,1756,1.7%,
7,鳥取県,0,258,0.0%,
8,島根県,0,185,0.0%,
9,岡山県,15,534,2.8%,
10,広島県,23,1486,1.5%,
11,山口県,17,513,3.3%,
12,徳島県,3,206,1.5%,
13,香川県,3,415,0.7%,
14,愛媛県,25,450,5.6%,
15,高知県,37,646,5.7%,
16,福岡県,161,3106,5.2%,
17,佐賀県,11,271,4.1%,
18,長崎県,12,813,1.5%,
19,熊本県,23,1552,1.5%,
20,大分県,41,1907,2.1%,
21,宮崎県,12,498,2.4%,
22,鹿児島県,3,483,0.6%,
23,沖縄県,32,588,5.4%,
24,合計,"4,667","54,284",8.6%,
