,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,北海道,928,"7,827",11.9%
2,青森,26,714,3.6%
3,"岩手
※3",0,387,0.0%
4,宮城,88,"2,166",4.1%
5,秋田,16,880,1.8%
6,山形,69,"2,382",2.9%
7,"福島
※3",79,"2,150",3.7%
8,茨城,168,"5,281",3.2%
9,栃木,54,"2,287",2.4%
10,群馬,147,2911,5.0%
11,"埼玉
※3",922,"9,456",9.8%
12,"千葉
※1
(3/21～）","842 
(797)","7,308",10.9%
13,"東京
※2※3","4,777","12,950",36.9%
14,"神奈川
※1
(3/23～）","1,145 
(1,075)","6,913",15.6%
15,新潟,78,"3,238",2.4%
16,富山,220,"2,392",9.2%
17,石川,275,"2,175",12.6%
18,福井,122,"1,964",6.2%
19,山梨,56,"2,738",2.0%
20,長野,73,"2,027",3.6%
21,岐阜,150,"2,498",6.0%
22,静岡,73,"2,792",2.6%
23,"愛知
※3",498,"7,866",6.3%
24,三重,45,"2,084",2.2%
