,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,北海道,726,"6,312",11.5%
2,青森,26,613,4.2%
3,"岩手
※3",0,314,0.0%
4,宮城,88,"1,744",5.0%
5,秋田,16,827,1.9%
6,山形,68,"2,103",3.2%
7,"福島
※3",72,"1,664",4.3%
8,茨城,162,"4,473",3.6%
9,栃木,54,"1,857",2.9%
10,群馬,146,"2,596",5.6%
11,"埼玉
※3",843,"7,007",12.0%
12,"千葉
※1
(3/21～）","806 
(761)","5,753",13.2%
13,"東京
※2※3","4,120","10,702",38.5%
14,"神奈川
※1
(3/23～）","1,002 
(932)","5,536",16.8%
15,新潟,75,"2,775",2.7%
16,富山,190,"2,137",8.9%
17,石川,250,"1,796",13.9%
18,福井,122,"1,588",7.7%
19,山梨,52,"2,117",2.5%
20,長野,66,"1,703",3.9%
21,岐阜,146,"2,362",6.2%
22,静岡,68,"2,635",2.6%
23,"愛知
※3",486,"7,036",6.9%
24,三重,45,"1,835",2.5%
