,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,滋賀,71,760,9.3%
2,京都,251,"2,565",9.8%
3,"大阪
※1
(3/21～）","1,212 
(1,087)","4,535",24.0%
4,"兵庫
※3",513,"5,280",9.7%
5,奈良,62,777,8.0%
6,"和歌山
※3",46,"2,312",2.0%
7,鳥取,3,543,0.6%
8,"島根
※3",16,680,2.4%
9,"岡山
※3",19,887,2.1%
10,"広島
※3",132,"3,010",4.4%
11,山口,30,"1,049",2.9%
12,"徳島
※3",3,336,0.9%
13,"香川
※3",25,967,2.6%
14,愛媛,45,708,6.4%
15,"高知
※3",68,"1,131",6.0%
16,福岡,516,"6,447",8.0%
17,佐賀,17,594,2.9%
18,長崎,17,"1,325",1.3%
19,"熊本
※3",39,"2,274",1.7%
20,大分,54,"2,426",2.2%
21,宮崎,17,841,2.0%
22,"鹿児島
※3",8,734,1.1%
23,"沖縄
※3",110,"1,213",9.1%
24,"合計
※4","10,608 
(10,368)","94,826",10.9%
