,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,滋賀,96,"1,289",7.4%
2,京都,319,"4,177",7.6%
3,"大阪
※1
(3/21～）","1,627 
(1,502)","8,965",16.8%
4,"兵庫
※3",645,"7,481",8.6%
5,奈良,82,"1,508",5.4%
6,和歌山,62,"3,033",2.0%
7,"鳥取
※3",3,"1,048",0.3%
8,島根,23,820,2.8%
9,岡山,23,"1,196",1.9%
10,"広島
※3",155,"4,959",3.1%
11,山口,32,"1,285",2.5%
12,徳島,5,459,1.1%
13,"香川
※3",28,"1,613",1.7%
14,愛媛,47,"1,095",4.3%
15,"高知
※3",74,"1,439",5.1%
16,福岡,642,"9,254",6.9%
17,佐賀,41,"1,027",4.0%
18,長崎,17,"2,008",0.8%
19,熊本,47,"3,148",1.5%
20,大分,60,"3,157",1.9%
21,宮崎,17,"1,105",1.5%
22,"鹿児島
※3",10,"1,260",0.8%
23,"沖縄
※3",142,"2,113",6.7%
24,"長崎船
※5
その他",148,623,23.8%
25,"合計
※4","14,120 
(13,880)","145,243",9.6%
