,0,1,2,3,4
0,,都道府県名 陽性者数 検査人数,,％,備考
1,北海道,267,2836,,9.4% HP 4/10時点
2,青森県,22,313,,7.0% 4/10時点
3,岩手県,0,136,,0.0% 4/10時点
4,宮城県,52,660,,7.9% 4/10時点
5,秋田県,15,491,,3.1% 4/10時点
6,山形県,34,782,,4.3% 4/10時点
7,福島県,38,541,,7.0% 4/10時点
8,茨城県,109,2221,,4.9% 4/10時点
9,栃木県,35,1003,,3.5% 4/10時点
10,群馬県,90,1495,6.0%,
11,埼玉県,386,2216,,17.4% HP 4/10時点
12,千葉県,455,1743,26.1%,
13,東京都,2080,5660,36.7% 4/9時点,
14,神奈川県,478,2604,18.4%,
15,新潟県,42,1587,,2.6% 4/10時点
16,富山県,30,646,4.6%,
17,石川県,113,562,20.1% 4/10時点,
18,福井県,88,515,17.1%,
19,山梨県,35,1013,,3.5% 4/10時点
20,長野県,29,899,3.2%,
21,岐阜県,105,1185,8.9%,
22,静岡県,41,1426,,2.9% 4/10時点
23,愛知県,319,3990,,8.0% HP 4/9時点
24,三重県,17,906,,1.9% 4/10時点
