,0,1,2,3
,都道府県名,陽性者数,検査人数,%
,北海道 ,1583,34577,4.6
,青 森 ,32,1662,1.9
,岩手 ,7,2083,0.3
,宮城 ,184,7044,2.6
,秋 田 ,37,1439,2.6
,山形 ,76,2993,2.5
,福島 ,101,11504,0.9
,茨城 ,431,9055,4.8
,栃木 ,265,17376,1.5
,群馬 ,254,9891,2.6
,埼玉 ,3057,86664,3.5
,千葉 ,2304,42401,5.4
,東京 ,16680,244820,6.8
,神奈川 ,3521,50813,6.9
,新潟 ,129,7690,1.7
,富山 ,298,6514,4.6
,石川 ,412,3805,10.8
,福井 ,154,5739,2.7
,山梨 ,135,8367,1.6
,長野 ,140,10347,1.4
,岐阜 ,492,14573,3.4
,静岡 ,388,17599,2.2
,愛知 ,3392,35728,9.5
,三重 ,262,7203,3.6
,滋賀 ,317,6520,4.9
,京都 ,1026,23171,4.4
,大阪 ,6355,98803,6.4
,兵庫 ,1728,33876,5.1
,奈良 ,351,11572,3.0
,和歌山 ,189,7157,2.6
,鳥取 ,21,4254,0.5
,島根 ,132,3686,3.6
,岡山 ,119,3607,3.3
,広島 ,425,15422,2.8
,山口 ,81,4869,1.7
,徳島 ,70,3218,2.2
,香川 ,60,6124,1.0
,愛媛 ,108,3346,3.2
,高知 ,83,2428,3.4
,福岡 ,3215,32653,9.8
,佐賀 ,175,3718,4.7
,長崎 ,173,10173,1.7
,熊本 ,380,8480,4.5
,大分 ,93,8556,1.1
,宮崎 ,248,6659,3.7
,鹿児島 ,277,12585,2.2
,沖縄 ,1404,16129,8.7
,(その他)※3 ,149,0,-
,合計 ,51513,966893,5.3
