,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,滋賀,92,"1,067",8.6%
2,京都,282,"3,397",8.3%
3,"大阪
※1
(3/21～）","1,417 
(1,292)","6,346",20.4%
4,"兵庫
※3",581,"6,213",9.4%
5,奈良,76,"1,140",6.7%
6,和歌山,50,"2,454",2.0%
7,"鳥取
※3",3,880,0.3%
8,島根,16,733,2.2%
9,岡山,19,"1,015",1.9%
10,"広島
※3",142,"3,900",3.6%
11,山口,31,"1,156",2.7%
12,徳島,5,368,1.4%
13,"香川
※3",28,"1,393",2.0%
14,愛媛,47,961,4.9%
15,"高知
※3",71,"1,260",5.6%
16,福岡,572,"7,690",7.4%
17,佐賀,21,682,3.1%
18,"長崎
※4",16,"1,676",1.0%
19,熊本,43,"2,577",1.7%
20,大分,60,"2,910",2.1%
21,宮崎,17,993,1.7%
22,"鹿児島
※3",10,"1,017",1.0%
23,沖縄,132,"1,589",8.3%
24,"長崎船
※5
その他",48,,
25,"合計
※4","12,240 
(12,000)","117,367",10.2%
