,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,北海道,302,3473,8.7%
2,青森県,22,433,5.1%
3,岩手県　※3,0,181,0.0%
4,宮城県,65,992,6.6%
5,秋田県,16,666,2.4%
6,山形県,45,1118,4.0%
7,福島県　※3,40,786,5.1%
8,茨城県,119,2883,4.1%
9,栃木県,39,1167,3.3%
10,群馬県,107,1866,5.7%
11,埼玉県　※3,479,3635,13.2%
12,"千葉県　※1
(3/21～）","525 
(484)",2688,18.0%
13,東京都　※2,2457,6654,36.9%
14,"神奈川県 ※1
(3/23～）","614 
(550)",3476,15.8%
15,新潟県,46,1874,2.5%
16,富山県,54,1021,5.3%
17,石川県,140,826,16.9%
18,福井県,100,865,11.6%
19,山梨県,39,1295,3.0%
20,長野県,36,1159,3.1%
21,岐阜県,128,1626,7.9%
22,静岡県,47,1790,2.6%
23,愛知県,350,4784,7.3%
24,三重県,20,1039,1.9%
