,0,1,2,3
0,都道府県名,,陽性者数 検査人数※6,％
1,滋賀,97,"1,490",6.5%
2,京都,352,"5,652",6.2%
3,大阪,"1,750","17,308",10.1%
4,兵庫,694,"9,289",7.5%
5,奈良,90,"2,035",4.4%
6,和歌山,63,"3,392",1.9%
7,鳥取,3,"1,198",0.3%
8,島根,24,926,2.6%
9,岡山,25,"1,397",1.8%
10,広島,165,"6,051",2.7%
11,山口,37,"1,557",2.4%
12,徳島,5,635,0.8%
13,香川,28,"1,875",1.5%
14,愛媛,48,"1,284",3.7%
15,高知,74,"1,594",4.6%
16,"福岡
※1",655,"11,413",5.7%
17,"佐賀
※1",45,"1,265",3.6%
18,長崎,17,"2,405",0.7%
19,"熊本
※1",48,"3,547",1.4%
20,大分,60,"3,540",1.7%
21,宮崎,17,"1,250",1.4%
22,鹿児島 ※1,11,"1,544",0.7%
23,沖縄,142,"2,535",5.6%
24,その他 ※5,149,623,23.9%
25,合計,"15,854 
(14,891)","188,031",7.9%
