,0,1,2,3
0,都道府県名,陽性者数 検査人数※6,,％
1,北海道,966,"9,160",10.5%
2,"青森
※1",27,767,3.5%
3,"岩手
※1",0,430,0.0%
4,宮城,88,"2,322",3.8%
5,秋田,16,898,1.8%
6,"山形
※1",69,"2,481",2.8%
7,福島,81,"2,562",3.2%
8,茨城,168,"4,008",4.2%
9,栃木,56,"2,535",2.2%
10,群馬,147,"3,119",4.7%
11,埼玉,970,"13,327",7.3%
12,"千葉
※2",885,"12,793",6.9%
13,"東京
※3","4,987","13,640",36.6%
14,"神奈川
※1
※4","1,193 
(230)","2,721",8.5%
15,新潟,82,"3,533",2.3%
16,富山,221,"2,858",7.7%
17,石川,283,"2,354",12.0%
18,"福井
※1",122,"2,139",5.7%
19,山梨,56,"3,027",1.9%
20,長野,75,"2,216",3.4%
21,岐阜,150,"3,526",4.3%
22,静岡,73,"3,165",2.3%
23,愛知,495,"8,492",5.8%
24,三重,45,"2,153",2.1%
