,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,北海道,767,"6,892",11.1%
2,青森,26,639,4.1%
3,"岩手
※3",0,343,0.0%
4,宮城,88,"1,885",4.7%
5,秋田,16,850,1.9%
6,山形,68,"2,159",3.1%
7,"福島
※3",73,"1,812",4.0%
8,茨城,163,"4,623",3.5%
9,栃木,54,"2,010",2.7%
10,群馬,146,"1,630",9.0%
11,"埼玉
※3",851,"7,818",10.9%
12,"千葉
※1
(3/21～）","810 
(765)","6,141",12.5%
13,"東京
※2※3","4,166","10,981",37.9%
14,"神奈川
※1
(3/23～）","1,028 
(958)","5,871",16.3%
15,新潟,75,"2,903",2.6%
16,富山,202,"2,535",8.0%
17,石川,251,"1,937",13.0%
18,福井,122,"1,696",7.2%
19,山梨,52,"2,292",2.3%
20,長野,66,"1,798",3.7%
21,岐阜,146,"2,400",6.1%
22,静岡,72,"2,736",2.6%
23,"愛知
※3",488,"7,327",6.7%
24,三重,45,"1,903",2.4%
