,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,滋賀,98,"1,314",7.5%
2,京都,341,"4,343",7.9%
3,"大阪
※1
(3/21～）","1,704 
(1,579)","12,492",12.6%
4,"兵庫
※3",676,"8,358",8.1%
5,奈良,88,"1,605",5.5%
6,和歌山,62,"3,077",2.0%
7,"鳥取
※3",3,"1,124",0.3%
8,島根,24,830,2.9%
9,岡山,23,"1,131",2.0%
10,"広島
※3",162,"5,433",3.0%
11,山口,37,"1,290",2.9%
12,徳島,5,469,1.1%
13,"香川
※3",28,"1,739",1.6%
14,愛媛,48,"1,116",4.3%
15,"高知
※3",74,"1,520",4.9%
16,福岡,651,"9,400",6.9%
17,佐賀,45,"1,077",4.2%
18,長崎,17,"2,050",0.8%
19,熊本,47,"3,178",1.5%
20,大分,60,"3,175",1.9%
21,宮崎,17,"1,122",1.5%
22,"鹿児島
※3",10,"1,287",0.8%
23,"沖縄
※3",142,"2,312",6.1%
24,"長崎船
※5
その他",149,623,23.9%
25,"合計
※4","15,300 
(15,060)","157,563",9.6%
