,0,1,2,3
,都道府県名,陽性者数,検査人数,%
,北海道 ,1121,16024,7.0
,青 森 ,27,888,3.0
,岩手 ,0,742,0.0
,宮城 ,88,3108,2.8
,秋 田 ,16,951,1.7
,山形 ,69,2454,2.8
,福島 ,81,5033,1.6
,茨城 ,168,4866,3.5
,栃木 ,66,4886,1.4
,群馬 ,151,3973,3.8
,埼玉 ,1007,23877,4.2
,千葉 ,907,15658,5.8
,東京 ,5396,16026,33.7
,神奈川 ,1397,10601,13.2
,新潟 ,83,4392,1.9
,富山 ,227,3531,6.4
,石川 ,299,2798,10.7
,福井 ,122,2839,4.3
,山梨 ,67,4434,1.5
,長野 ,76,2889,2.6
,岐阜 ,152,3891,3.9
,静岡 ,75,3619,2.1
,愛知 ,511,10701,4.8
,三重 ,45,2579,1.7
,滋賀 ,100,1970,5.1
,京都 ,359,8608,4.2
,大阪 ,1784,33273,5.4
,兵庫 ,699,11588,6.0
,奈良 ,92,2898,3.2
,和歌山 ,63,3790,1.7
,鳥取 ,3,1395,0.2
,島根 ,24,1167,2.1
,岡山 ,25,1774,1.4
,広島 ,168,7264,2.3
,山口 ,37,1858,2.0
,徳島 ,5,782,0.6
,香川 ,28,2288,1.2
,愛媛 ,82,2462,3.3
,高知 ,74,1848,4.0
,福岡 ,802,14317,5.6
,佐賀 ,47,1487,3.2
,長崎 ,17,2925,0.6
,熊本 ,48,4033,1.2
,大分 ,60,4231,1.4
,宮崎 ,17,1434,1.2
,鹿児島 ,10,2009,0.5
,沖縄 ,142,2908,4.9
,(その他)※3 ,149,0,-
,合計 ,16986,267069,6.4
