,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,北海道,451,"4,245",10.6%
2,青森,22,474,4.6%
3,岩手,0,236,0.0%
4,宮城,84,"1,369",6.1%
5,秋田,16,736,2.2%
6,山形,64,"1,597",4.0%
7,福島,64,"1,131",5.7%
8,茨城,143,"3,343",4.3%
9,栃木,49,"1,481",3.3%
10,群馬,124,"2,103",5.9%
11,"埼玉
※3",662,"4,732",14.0%
12,"千葉
※1
(3/21～）","683 
(638)","3,803",16.8%
13,"東京
※2","3,197","8,198",39.0%
14,"神奈川
※1
(3/23～）","802 
(732)","3,912",18.7%
15,新潟,56,"2,107",2.7%
16,富山,114,"1,454",7.8%
17,石川,180,"1,115",16.1%
18,福井,113,"1,054",10.7%
19,山梨,49,"1,653",3.0%
20,長野,52,"1,401",3.7%
21,岐阜,139,"2,119",6.6%
22,静岡,52,"2,089",2.5%
23,愛知,406,"5,535",7.3%
24,三重,39,"1,397",2.8%
