,0,1,2,3,4
0,,都道府県名 陽性者数 検査人数,,％,備考
1,北海道,208,2488,8.4%,
2,青森県,12,260,4.6%,
3,岩手県,0,119,0.0%,
4,宮城県,34,558,6.1%,
5,秋田県,11,463,2.4%,
6,山形県,22,663,3.3%,
7,福島県,29,412,7.0%,
8,茨城県,77,1927,4.0%,
9,栃木県,21,831,2.5%,
10,群馬県,29,1423,2.0%,
11,埼玉県,242,1839,13.2% HP,
12,千葉県,317,1500,21.1% ※1,
13,東京都,1347,4992,27.0%,
14,神奈川県,327,2203,14.8% ※1,
15,新潟県,37,1462,2.5%,
16,富山県,14,499,2.8%,
17,石川県,66,472,14.0%,
18,福井県,67,407,16.5%,
19,山梨県,22,887,2.5%,
20,長野県,19,783,2.4%,
21,岐阜県,69,1046,6.6%,
22,静岡県,15,1295,1.2%,
23,愛知県,278,3467,8.0%,
24,三重県,13,824,1.6%,
