,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,滋賀,94,"1,209",7.8%
2,京都,309,"3,894",7.9%
3,"大阪
※1
(3/21～）","1,523 
(1,398)","7,380",18.9%
4,"兵庫
※3",629,"6,922",9.1%
5,奈良,78,"1,329",5.9%
6,和歌山,59,"2,837",2.1%
7,"鳥取
※3",3,982,0.3%
8,島根,22,790,2.8%
9,岡山,22,"1,129",1.9%
10,"広島
※3",145,"4,556",3.2%
11,山口,32,"1,225",2.6%
12,徳島,5,423,1.2%
13,"香川
※3",28,"1,512",1.9%
14,愛媛,47,"1,024",4.6%
15,"高知
※3",73,"1,362",5.4%
16,福岡,615,"8,611",7.1%
17,佐賀,36,912,3.9%
18,長崎,16,"1,851",0.9%
19,熊本,45,"2,912",1.5%
20,大分,60,"3,039",2.0%
21,宮崎,17,"1,053",1.6%
22,"鹿児島
※3",10,"1,176",0.9%
23,沖縄,137,"1,896",7.2%
24,"長崎船
※5
その他",148,,
25,"合計
※4","13,422 
(13,182)","133,578",9.9%
