,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,北海道,650,"6,149",10.6%
2,青森,23,580,4.0%
3,"岩手
※3",0,302,0.0%
4,宮城,86,"1,714",5.0%
5,秋田,16,818,2.0%
6,山形,66,"2,052",3.2%
7,"福島
※3",69,"1,634",4.2%
8,茨城,161,"4,273",3.8%
9,栃木,54,"1,826",3.0%
10,群馬,146,"2,589",5.6%
11,"埼玉
※3",823,"6,368",12.9%
12,"千葉
※1
(3/21～）","793 
(748)","5,512",13.6%
13,"東京
※2","3,961","10,702",37.0%
14,"神奈川
※1
(3/23～）","965 
(895)","5,439",16.5%
15,新潟,69,"2,578",2.7%
16,富山,181,"2,102",8.6%
17,石川,236,"1,703",13.9%
18,福井,121,"1,462",8.3%
19,山梨,51,"2,072",2.5%
20,長野,66,"1,680",3.9%
21,岐阜,146,"2,763",5.3%
22,静岡,64,"2,547",2.5%
23,"愛知
※3",477,"6,890",6.9%
24,三重,45,"1,799",2.5%
