,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,北海道,847,"7,054",12.0%
2,青森,26,643,4.0%
3,"岩手
※3",0,363,0.0%
4,宮城,88,"1,910",4.6%
5,秋田,16,852,1.9%
6,山形,68,"2,246",3.0%
7,"福島
※3",78,"1,844",4.2%
8,茨城,165,"4,835",3.4%
9,栃木,54,"2,015",2.7%
10,群馬,146,"1,654",8.8%
11,"埼玉
※3",888,"8,939",9.9%
12,"千葉
※1
(3/21～）","828 
(783)","6,374",12.3%
13,"東京
※2※3","4,582","11,691",39.2%
14,"神奈川
※1
(3/23～）","1,101 
(1,031)","6,002",17.2%
15,新潟,77,"3,044",2.5%
16,富山,212,"2,392",8.9%
17,石川,264,"1,977",13.4%
18,福井,122,"1,771",6.9%
19,山梨,56,"2,358",2.4%
20,長野,70,"1,818",3.9%
21,岐阜,150,"2,404",6.2%
22,静岡,73,"2,780",2.6%
23,"愛知
※3",492,"7,463",6.6%
24,三重,45,"1,938",2.3%
