,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,滋賀,98,"1,378",7.1%
2,京都,347,"5,138",6.8%
3,"大阪
※1
(3/21～）","1,713 
(1,588)","14,939",10.6%
4,"兵庫
※3",679,"8,516",8.0%
5,奈良,89,"1,907",4.7%
6,和歌山,62,"3,283",1.9%
7,"鳥取
※3",3,"1,142",0.3%
8,島根,24,888,2.7%
9,岡山,23,"1,303",1.8%
10,"広島
※3",162,"5,588",2.9%
11,山口,37,"1,455",2.5%
12,徳島,5,518,1.0%
13,"香川
※3",28,"1,753",1.6%
14,愛媛,48,"1,225",3.9%
15,"高知
※3",74,"1,528",4.8%
16,福岡,652,"10,020",6.5%
17,佐賀,45,"1,143",3.9%
18,長崎,17,"2,215",0.8%
19,熊本,47,"3,313",1.4%
20,大分,60,"3,349",1.8%
21,宮崎,17,"1,192",1.4%
22,"鹿児島
※3",10,"1,378",0.7%
23,"沖縄
※3",142,"2,366",6.0%
24,"長崎船
※5
その他",149,623,23.9%
25,"合計
※4","15,382 
(15,142)","169,546",8.9%
