,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,北海道,823,"7,054",11.7%
2,青森,26,643,4.0%
3,"岩手
※3",0,350,0.0%
4,宮城,88,"1,910",4.6%
5,秋田,16,852,1.9%
6,山形,68,"2,246",3.0%
7,"福島
※3",75,"1,844",4.1%
8,茨城,165,"4,835",3.4%
9,栃木,54,"2,015",2.7%
10,群馬,146,"1,654",8.8%
11,"埼玉
※3",878,"8,778",10.0%
12,"千葉
※1
(3/21～）","823 
(778)","6,374",12.2%
13,"東京
※2※3","4,491","11,691",38.4%
14,"神奈川
※1
(3/23～）","1,060 
(990)","6,002",16.5%
15,新潟,77,"3,044",2.5%
16,富山,209,"2,392",8.7%
17,石川,260,"1,977",13.2%
18,福井,122,"1,771",6.9%
19,山梨,55,"2,358",2.3%
20,長野,69,"1,818",3.8%
21,岐阜,150,"2,404",6.2%
22,静岡,73,"2,780",2.6%
23,"愛知
※3",491,"7,403",6.6%
24,三重,45,"1,938",2.3%
