,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,滋賀,72,776,9.3%
2,京都,259,"2,811",9.2%
3,"大阪
※1
(3/21～）","1,297 
(1,172)","4,938",23.7%
4,兵庫,524,"5,610",9.3%
5,奈良,64,919,7.0%
6,和歌山,46,"2,339",2.0%
7,鳥取,3,711,0.4%
8,島根,16,681,2.3%
9,岡山,19,930,2.0%
10,"広島
※3",137,"3,010",4.6%
11,山口,30,"1,119",2.7%
12,徳島,3,336,0.9%
13,香川,26,967,2.7%
14,愛媛,46,844,5.5%
15,高知,69,"1,167",5.9%
16,福岡,524,"7,263",7.2%
17,佐賀,17,587,2.9%
18,長崎,18,"1,461",1.2%
19,熊本,40,"2,350",1.7%
20,大分,55,"2,657",2.1%
21,宮崎,17,925,1.8%
22,"鹿児島
※3",10,841,1.2%
23,沖縄,121,"1,292",9.4%
24,"合計
※4","10,974 
(10,734)","101,818",10.5%
