,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,北海道,279,3297,8.5%
2,青森県,22,410,5.4%
3,岩手県　※2,0,170,0.0%
4,宮城県,64,852,7.5%
5,秋田県,16,603,2.7%
6,山形県,39,1055,3.7%
7,福島県　※2,39,706,5.5%
8,茨城県,116,2719,4.3%
9,栃木県,38,1121,3.4%
10,群馬県,97,1787,5.4%
11,埼玉県　※2,433,3056,14.2%
12,千葉県　※1,490,2447,20.0%
13,東京都,2332,6563,35.5%
14,神奈川県 ※1,594,3306,18.0%
15,新潟県,45,1787,2.5%
16,富山県,54,956,5.6%
17,石川県,131,778,16.8%
18,福井県,92,765,12.0%
19,山梨県,36,1205,3.0%
20,長野県,35,1106,3.2%
21,岐阜県,127,1519,8.4%
22,静岡県,46,1647,2.8%
23,愛知県,338,4250,8.0%
24,三重県,19,1002,1.9%
