,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,"滋賀
※3※5",599,"14,734",4.1%
2,京都,"2,101","54,297",3.9%
3,"大阪
※3※5","13,676","250,416",5.5%
4,"※3※4※5
兵庫","3,455","72,133",4.8%
5,"奈良
※5",726,"25,726",2.8%
6,和歌山,286,"10,623",2.7%
7,"鳥取
※3",43,"5,889",0.7%
8,"島根
※5",141,"6,281",2.2%
9,"岡山
※4",332,"11,198",3.0%
10,"広島
※3",670,"28,463",2.4%
11,"山口
※4",225,"11,960",1.9%
12,"徳島
※3",167,"7,566",2.2%
13,"香川
※5",104,"14,083",0.7%
14,愛媛,117,"4,434",2.6%
15,高知,144,"3,671",3.9%
16,"※3※4※5
福岡","5,276","171,300",3.1%
17,"佐賀
※3",268,"7,612",3.5%
18,長崎,246,"23,522",1.0%
19,熊本,847,"20,748",4.1%
20,大分,160,"21,889",0.7%
21,宮崎,372,"8,807",4.2%
22,鹿児島,505,"23,324",2.2%
23,"沖縄
※3","3,488","60,962",5.7%
24,"長崎船
※2
その他",149,0,-
25,合計,"105,827","2,567,556",4.1%
