,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３※６",472,"10,726",4.4%
2,京都,"1,628","36,834",4.4%
3,"大阪
※３※６","9,725","161,832",6.0%
4,"兵庫
※３,４,6","2,478","50,254",4.9%
5,"奈良
※６",550,"18,672",2.9%
6,和歌山,236,"8,934",2.6%
7,"鳥取
※３",34,"4,781",0.7%
8,"島根
※６",137,"5,236",2.6%
9,岡山,147,"7,511",2.0%
10,"広島
※３",472,"19,041",2.5%
11,山口,194,"8,359",2.3%
12,"徳島
※３",147,"6,662",2.2%
13,"香川
※６",92,"9,636",1.0%
14,愛媛,114,"3,945",2.9%
15,高知,137,"3,319",4.1%
16,福岡,"4,948","44,991",11.0%
17,"佐賀
※３",244,"5,567",4.4%
18,長崎,236,"16,671",1.4%
19,熊本,570,"13,039",4.4%
20,大分,158,"14,821",1.1%
21,宮崎,343,"8,383",4.1%
22,鹿児島,373,"17,314",2.2%
23,"沖縄
※３","2,297","33,812",6.8%
24,"長崎船
※２
その他",149,0,-
25,合計,"75,582","1,576,024",4.8%
