,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,北海道,"9,457","160,918",5.9%
2,"青森
※3",321,"7,043",4.6%
3,"※3※4※5
岩手",213,"9,972",2.1%
4,"宮城
※3※5","1,251","19,428",6.4%
5,秋田,90,"3,689",2.4%
6,山形,152,"7,773",2.0%
7,"福島
※3",515,"41,257",1.2%
8,茨城,"1,777","17,334",10.3%
9,"栃木
※3※5",719,"56,302",1.3%
10,"群馬
※3※5","1,341","38,912",3.4%
11,"埼玉
※4","8,992","243,953",3.7%
12,千葉,"7,314","171,116",4.3%
13,"東京
※1","42,793","792,109",5.4%
14,神奈川,"13,314","265,968",5.0%
15,"新潟
※3※5",350,"23,018",1.5%
16,"富山
※3※5",461,"17,786",2.6%
17,"石川
※3",864,"23,036",3.8%
18,"福井
※3",321,"15,547",2.1%
19,"山梨
※3",381,"13,645",2.8%
20,"長野
※3※5",774,"33,056",2.3%
21,"岐阜
※5","1,195","42,775",2.8%
22,"静岡
※3※4","1,827","61,478",3.0%
23,"※3※4※5
愛知","10,723","143,080",7.5%
24,"三重
※3",927,"22,079",4.2%
