,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,"滋賀
※3※5",505,"12,148",4.2%
2,京都,"1,767","43,228",4.1%
3,"大阪
※3※5","10,809","190,440",5.7%
4,"※3※4※5
兵庫","2,783","58,020",4.8%
5,"奈良
※5",581,"20,885",2.8%
6,和歌山,242,"9,372",2.6%
7,"鳥取
※3",36,"5,493",0.7%
8,"島根
※5",140,"5,820",2.4%
9,"岡山
※4",158,"8,110",1.9%
10,"広島
※3",603,"21,121",2.9%
11,"山口
※4",201,"10,079",2.0%
12,"徳島
※3",149,"6,980",2.1%
13,"香川
※5",93,"10,931",0.9%
14,愛媛,115,"4,119",2.8%
15,高知,138,"3,508",3.9%
16,"※3※4※5
福岡","5,054","135,726",3.7%
17,"佐賀
※3",246,"6,156",4.0%
18,長崎,238,"18,928",1.3%
19,熊本,607,"16,764",3.6%
20,大分,158,"17,315",0.9%
21,宮崎,344,"8,601",4.0%
22,鹿児島,428,"19,261",2.2%
23,"沖縄
※3","2,588","40,691",6.4%
24,"長崎船
※2
その他",149,0,-
25,合計,"84,733","1,947,678",4.4%
