,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,"滋賀
※3※5",563,"14,528",3.9%
2,京都,"2,081","53,884",3.9%
3,"大阪
※3※5","13,191","242,761",5.4%
4,"※3※4※5
兵庫","3,327","70,081",4.7%
5,"奈良
※5",679,"25,178",2.7%
6,和歌山,278,"10,513",2.6%
7,"鳥取
※3",38,"5,784",0.7%
8,"島根
※5",141,"6,281",2.2%
9,"岡山
※4",309,"11,198",2.8%
10,"広島
※3",663,"28,179",2.4%
11,"山口
※4",215,"11,960",1.8%
12,"徳島
※3",164,"7,520",2.2%
13,"香川
※5",102,"13,732",0.7%
14,愛媛,116,"4,406",2.6%
15,高知,144,"3,651",3.9%
16,"※3※4※5
福岡","5,246","167,340",3.1%
17,"佐賀
※3",266,"7,350",3.6%
18,⾧崎,245,"23,010",1.1%
19,熊本,824,"19,986",4.1%
20,大分,159,"21,275",0.7%
21,宮崎,371,"8,803",4.2%
22,鹿児島,488,"22,896",2.1%
23,"沖縄
※3","3,408","59,589",5.7%
24,"⾧崎船
※2
その他",149,0,-
25,合計,"102,619","2,496,326",4.1%
