,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,"滋賀
※5","1,154","37,076",3.1%
2,京都,"4,455","90,765",4.9%
3,"大阪
※3※5","29,686","463,034",6.4%
4,"※3※4※5
兵庫","9,624","137,163",7.0%
5,"奈良
※5","1,966","47,698",4.1%
6,和歌山,607,"16,415",3.7%
7,"鳥取
※3※4",111,"24,092",0.5%
8,"島根
※5",208,"9,344",2.2%
9,"岡山
※4","1,340","31,723",4.2%
10,"広島
※3","3,149","73,605",4.3%
11,"山口
※4",572,"26,760",2.1%
12,"徳島
※3",196,"15,283",1.3%
13,"香川
※5",301,"24,063",1.3%
14,愛媛,457,"12,501",3.7%
15,高知,654,"5,871",11.1%
16,"※3※4※5
福岡","8,774","263,231",3.3%
17,"佐賀
※3",464,"14,991",3.1%
18,長崎,611,"38,857",1.6%
19,熊本,"1,799","34,891",5.2%
20,大分,667,"42,231",1.6%
21,宮崎,715,"12,454",5.7%
22,鹿児島,"1,006","38,705",2.6%
23,"沖縄
※3","5,307","88,963",6.0%
24,"長崎船
※2
その他",149,0,-
25,合計,"228,418","4,447,244",5.1%
