,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,"滋賀
※5※6",646,"14,966",4.3%
2,京都,"2,205","55,763",4.0%
3,"大阪
※3※5","14,607","263,438",5.5%
4,"※3※4※5
兵庫","3,666","74,889",4.9%
5,"奈良
※5",788,"27,089",2.9%
6,和歌山,304,"10,900",2.8%
7,"鳥取
※3",51,"6,067",0.8%
8,"島根
※5",141,"6,354",2.2%
9,"岡山
※4",354,"14,762",2.4%
10,"広島
※3",681,"29,577",2.3%
11,"山口
※4",234,"12,510",1.9%
12,"徳島
※3",170,"7,635",2.2%
13,"香川
※5",110,"14,703",0.7%
14,愛媛,121,"4,488",2.7%
15,高知,144,"3,685",3.9%
16,"※3※4※5
福岡","5,344","176,998",3.0%
17,"佐賀
※3",276,"7,955",3.5%
18,⾧崎,249,"24,224",1.0%
19,熊本,877,"21,235",4.1%
20,大分,163,"22,617",0.7%
21,宮崎,373,"8,829",4.2%
22,鹿児島,542,"24,469",2.2%
23,"沖縄
※3","3,620","63,899",5.7%
24,"⾧崎船
※2
その他",149,0,-
25,合計,"111,970","2,689,808",4.2%
