,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３※６",354,"7,340",4.8%
2,京都,"1,138","25,126",4.5%
3,"大阪
※３※６","7,101","108,525",6.5%
4,"兵庫
※３,４,6","1,924","36,814",5.2%
5,"奈良
※６",440,"11,572",3.8%
6,和歌山,209,"7,467",2.8%
7,"鳥取
※３",21,"4,351",0.5%
8,"島根
※６",133,"4,257",3.1%
9,岡山,128,"3,847",3.3%
10,"広島
※３",437,"16,267",2.7%
11,山口,84,"5,119",1.6%
12,"徳島
※３",95,"4,049",2.3%
13,"香川
※６",65,"6,505",1.0%
14,愛媛,110,"3,454",3.2%
15,高知,103,"2,616",3.9%
16,福岡,"3,683","35,498",10.4%
17,"佐賀
※３",199,"4,034",4.9%
18,長崎,189,"11,135",1.7%
19,熊本,417,"9,343",4.5%
20,大分,120,"9,554",1.3%
21,宮崎,273,"7,054",3.9%
22,鹿児島,335,"13,513",2.5%
23,"沖縄
※３","1,689","18,954",8.9%
24,"長崎船
※２
その他",149,0,-
25,合計,"56,820","1,088,286",5.2%
