,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３※６",298,"5,907",5.0%
2,京都,923,"20,966",4.4%
3,"大阪
※３※６","5,892","92,007",6.4%
4,"兵庫
※３,４,6","1,636","32,165",5.1%
5,"奈良
※６",336,"15,767",2.1%
6,和歌山,182,"6,999",2.6%
7,"鳥取
※３",21,"4,096",0.5%
8,"島根
※６",123,"3,225",3.8%
9,岡山,113,"3,533",3.2%
10,"広島
※３",410,"14,241",2.9%
11,山口,78,"4,528",1.7%
12,"徳島
※３",60,"2,919",2.1%
13,"香川
※６",60,"5,553",1.1%
14,愛媛,107,"3,257",3.3%
15,高知,83,"2,395",3.5%
16,福岡,"3,012","31,278",9.6%
17,"佐賀
※３",157,"3,464",4.5%
18,⾧崎,167,"9,447",1.8%
19,熊本,357,"8,234",4.3%
20,大分,92,"7,959",1.2%
21,宮崎,234,"5,940",3.9%
22,鹿児島,277,"12,288",2.3%
23,"沖縄
※３","1,179","15,757",7.5%
24,"⾧崎船
※２
その他",149,0,-
25,合計,"48,238","887,110",5.4%
