,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,北海道,"2,410","66,373",3.6%
2,"青森
※3",41,"2,720",1.5%
3,"※3※4※5
岩手",25,"4,715",0.5%
4,"宮城
※3※5",499,"11,735",4.3%
5,秋田,59,"2,349",2.5%
6,山形,81,"5,319",1.5%
7,"福島
※3",324,"23,712",1.4%
8,茨城,715,"13,091",5.5%
9,"栃木
※3※5",452,"33,701",1.3%
10,"群馬
※3※5",763,"25,758",3.0%
11,"埼玉
※4","5,177","160,093",3.2%
12,千葉,"4,377","107,131",4.1%
13,"東京
※1","28,136","520,982",5.4%
14,神奈川,"7,679","174,913",4.4%
15,"新潟
※3※5",179,"16,561",1.1%
16,"富山
※3※5",422,"13,702",3.1%
17,"石川
※3",786,"14,881",5.3%
18,"福井
※3",249,"10,299",2.4%
19,"山梨
※3",199,"11,097",1.8%
20,"長野
※3※5",320,"20,539",1.6%
21,"岐阜
※5",638,"24,608",2.6%
22,"静岡
※3※4",568,"38,416",1.5%
23,"※3※4※5
愛知","5,581","86,751",6.4%
24,"三重
※3",542,"14,421",3.8%
