,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,"滋賀
※3※5",552,"14,455",3.8%
2,京都,"2,014","52,347",3.8%
3,"大阪
※3※5","12,753","236,613",5.4%
4,"※3※4※5
兵庫","3,222","68,579",4.7%
5,"奈良
※5",648,"24,620",2.6%
6,和歌山,275,"10,428",2.6%
7,"鳥取
※3",38,"5,770",0.7%
8,"島根
※5",141,"6,271",2.2%
9,"岡山
※4",286,"11,198",2.6%
10,"広島
※3",659,"27,466",2.4%
11,"山口
※4",213,"11,915",1.8%
12,"徳島
※3",164,"7,477",2.2%
13,"香川
※5",101,"13,518",0.7%
14,愛媛,116,"4,371",2.7%
15,高知,144,"3,644",4.0%
16,"※3※4※5
福岡","5,226","164,668",3.2%
17,"佐賀
※3",254,"7,081",3.6%
18,⾧崎,244,"22,417",1.1%
19,熊本,786,"19,224",4.1%
20,大分,159,"20,960",0.8%
21,宮崎,367,"8,791",4.2%
22,鹿児島,468,"22,179",2.1%
23,"沖縄
※3","3,336","57,775",5.8%
24,"⾧崎船
※2
その他",149,0,-
25,合計,"99,959","2,439,260",4.1%
