,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,北海道,"7,369","130,771",5.6%
2,"青森
※3",281,"6,408",4.4%
3,"※3※4※5
岩手",155,"8,148",1.9%
4,"宮城
※3※5","1,116","18,148",6.1%
5,秋田,75,"3,447",2.2%
6,山形,109,"7,282",1.5%
7,"福島
※3",479,"38,113",1.3%
8,茨城,"1,310","15,503",8.4%
9,"栃木
※3※5",584,"51,535",1.1%
10,"群馬
※3※5","1,069","34,433",3.1%
11,"埼玉
※4","7,745","222,779",3.5%
12,千葉,"6,489","157,252",4.1%
13,"東京
※1","38,197","720,173",5.3%
14,神奈川,"11,480","239,610",4.8%
15,"新潟
※3※5",316,"21,341",1.5%
16,"富山
※3※5",446,"16,271",2.7%
17,"石川
※3",836,"20,734",4.0%
18,"福井
※3",304,"13,667",2.2%
19,"山梨
※3",327,"13,174",2.5%
20,"⾧野
※3※5",629,"28,896",2.2%
21,"岐阜
※5",939,"31,654",3.0%
22,"静岡
※3※4","1,294","52,936",2.4%
23,"※3※4※5
愛知","8,914","126,390",7.1%
24,"三重
※3",737,"18,271",4.0%
