,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,北海道,"11,650","200,304",5.8%
2,"青森
※3",383,"8,413",4.6%
3,"※3※4※5
岩手",318,"12,356",2.6%
4,"宮城
※3※5","1,596","22,399",7.1%
5,秋田,94,"3,873",2.4%
6,山形,290,"9,361",3.1%
7,"福島
※3",658,"46,923",1.4%
8,茨城,"2,053","18,048",11.4%
9,"栃木
※3※5",938,"63,079",1.5%
10,"群馬
※3※5","1,771","45,427",3.9%
11,"埼玉
※4","10,894","272,701",4.0%
12,千葉,"8,511","193,565",4.4%
13,"東京
※1","48,668","876,634",5.6%
14,神奈川,"15,684","293,582",5.3%
15,"新潟
※3※5",418,"25,175",1.7%
16,"富山
※3※5",477,"19,490",2.4%
17,"石川
※3",930,"25,853",3.6%
18,"福井
※3",337,"17,138",2.0%
19,"山梨
※3",459,"14,215",3.2%
20,"長野
※3※5","1,006","39,493",2.5%
21,"岐阜
※5","1,585","53,111",3.0%
22,"静岡
※3※4","2,253","71,412",3.2%
23,"※3※4※5
愛知","13,035","165,720",7.9%
24,"三重
※3","1,103","24,205",4.6%
