,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,北海道,"2,491","68,951",3.6%
2,"青森
※3",100,"3,045",3.3%
3,"※3※4※5
岩手",26,"4,874",0.5%
4,"宮城
※3※5",522,"12,197",4.3%
5,秋田,59,"2,361",2.5%
6,山形,81,"5,335",1.5%
7,"福島
※3",359,"24,626",1.5%
8,茨城,725,"13,174",5.5%
9,"栃木
※3※5",463,"34,330",1.3%
10,"群馬
※3※5",769,"26,309",2.9%
11,"埼玉
※4","5,331","163,276",3.3%
12,千葉,"4,505","110,818",4.1%
13,"東京
※1","28,839","535,672",5.4%
14,神奈川,"7,893","178,657",4.4%
15,"新潟
※3※5",180,"16,836",1.1%
16,"富山
※3※5",423,"13,903",3.0%
17,"石川
※3",793,"15,311",5.2%
18,"福井
※3",254,"10,331",2.5%
19,"山梨
※3",199,"11,173",1.8%
20,"長野
※3※5",326,"20,863",1.6%
21,"岐阜
※5",642,"24,976",2.6%
22,"静岡
※3※4",575,"39,100",1.5%
23,"※3※4※5
愛知","5,636","88,536",6.4%
24,"三重
※3",549,"14,646",3.7%
