,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,541","33,382",4.6%
2,"青森
※３",32,"1,549",2.1%
3,"岩手
※３※６",7,"1,907",0.4%
4,"宮城
※３",182,"6,752",2.7%
5,秋田,35,"1,201",2.9%
6,山形,76,"2,975",2.6%
7,"福島
※３",96,"10,978",0.9%
8,茨城,397,"8,181",4.9%
9,"栃木
※３",246,"16,441",1.5%
10,"群馬
※３※６",226,"9,239",2.4%
11,埼玉,"2,878","78,927",3.6%
12,千葉,"2,164","32,778",6.6%
13,"東京
※１","15,867","221,676",7.2%
14,神奈川,"3,187","42,717",7.5%
15,"新潟
※３",128,"7,460",1.7%
16,"富山
※６",285,"5,841",4.9%
17,"石川
※３",364,"3,521",10.3%
18,"福井
※３",154,"5,557",2.8%
19,"山梨
※３",124,"7,778",1.6%
20,"長野
※３※６",131,"9,389",1.4%
21,"岐阜
※６",465,"13,419",3.5%
22,"静岡
※３、５",345,"16,211",2.1%
23,愛知,"2,675","29,908",8.9%
24,"三重
※３",229,"6,002",3.8%
