,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３※６",153,"3,968",3.9%
2,京都,586,"14,909",3.9%
3,"大阪
※３※６","2,915","60,635",4.8%
4,"兵庫
※３,４,6",965,"23,180",4.2%
5,"奈良
※６",205,"7,978",2.6%
6,和歌山,122,"5,662",2.2%
7,"鳥取
※３",6,"2,286",0.3%
8,"島根
※６",28,"2,253",1.2%
9,岡山,61,"2,618",2.3%
10,"広島
※３",257,"10,572",2.4%
11,山口,49,"3,563",1.4%
12,"徳島
※３",12,"1,524",0.8%
13,"香川
※６",45,"4,243",1.1%
14,愛媛,85,"2,820",3.0%
15,高知,79,"2,184",3.6%
16,福岡,"1,342","21,520",6.2%
17,"佐賀
※３",67,"2,140",3.1%
18,長崎,52,"5,764",0.9%
19,熊本,72,"4,607",1.6%
20,大分,60,"6,023",1.0%
21,宮崎,62,"1,868",3.3%
22,鹿児島,211,"9,513",2.2%
23,"沖縄
※３",186,"6,226",3.0%
24,"長崎船
※２
その他",149,-,-
25,合計,"29,452","606,505",4.9%
