,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,712","39,570",4.3%
2,"青森
※３",33,"1,894",1.7%
3,"岩手
※３※６",12,"2,615",0.5%
4,"宮城
※３",192,"7,463",2.6%
5,秋田,45,"1,687",2.7%
6,山形,77,"3,075",2.5%
7,"福島
※３",128,"13,162",1.0%
8,茨城,507,"10,068",5.0%
9,"栃木
※３",289,"20,335",1.4%
10,"群馬
※３※６",384,"12,076",3.2%
11,埼玉,"3,592","98,861",3.6%
12,千葉,"2,801","50,562",5.5%
13,"東京
※１","19,428","291,053",6.7%
14,神奈川,"4,459","103,553",4.3%
15,"新潟
※６",139,"11,807",1.2%
16,"富山
※６",342,"7,097",4.8%
17,"石川
※３",573,"6,665",8.6%
18,"福井
※３",164,"6,462",2.5%
19,"山梨
※３",167,"9,157",1.8%
20,"長野
※３※６",183,"12,334",1.5%
21,"岐阜
※６",543,"16,688",3.3%
22,"静岡
※３、５",446,"22,444",2.0%
23,愛知,"4,187","47,113",8.9%
24,"三重
※３",342,"8,768",3.9%
