,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３",101,"2,345",4.3%
2,京都,375,"10,074",3.7%
3,"大阪
※３","1,816","39,970",4.5%
4,"兵庫
※３、５",705,"14,695",4.8%
5,奈良,92,"3,760",2.4%
6,和歌山,64,"3,979",1.6%
7,鳥取,3,"1,478",0.2%
8,島根,24,"1,240",1.9%
9,岡山,26,"1,926",1.3%
10,"広島
※３",168,"7,802",2.2%
11,山口,37,"2,267",1.6%
12,"徳島
※３",6,900,0.7%
13,香川,28,"2,649",1.1%
14,愛媛,82,"2,605",3.1%
15,高知,74,"1,971",3.8%
16,"福岡
※３、４",845,"16,383",5.2%
17,"佐賀
※３",47,"1,618",2.9%
18,長崎,17,"3,199",0.5%
19,熊本,49,"4,273",1.1%
20,大分,60,"4,834",1.2%
21,宮崎,17,"1,562",1.1%
22,鹿児島,11,"2,563",0.4%
23,沖縄,142,"3,016",4.7%
24,"長崎船
※２
その他",149,-,-
25,合計,"18,270","385,696",4.7%
