,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,北海道,"2,612","72,274",3.6%
2,"青森
※3",148,"3,511",4.2%
3,"※3※4※5
岩手",26,"5,037",0.5%
4,"宮城
※3※5",544,"12,635",4.3%
5,秋田,61,"2,414",2.5%
6,山形,82,"5,700",1.4%
7,"福島
※3",378,"26,480",1.4%
8,茨城,735,"13,508",5.4%
9,"栃木
※3※5",473,"34,937",1.4%
10,"群馬
※3※5",820,"27,239",3.0%
11,"埼玉
※4","5,521","172,103",3.2%
12,千葉,"4,680","117,935",4.0%
13,"東京
※1","29,520","559,296",5.3%
14,神奈川,"8,155","185,105",4.4%
15,"新潟
※3※5",180,"17,179",1.0%
16,"富山
※3※5",422,"14,206",3.0%
17,"石川
※3",796,"15,845",5.0%
18,"福井
※3",256,"10,735",2.4%
19,"山梨
※3",202,"11,338",1.8%
20,"長野
※3※5",329,"21,738",1.5%
21,"岐阜
※5",660,"25,543",2.6%
22,"静岡
※3※4",585,"40,487",1.4%
23,"※3※4※5
愛知","5,749","91,971",6.3%
24,"三重
※3",551,"15,019",3.7%
