,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,446","29,610",4.9%
2,"青森
※３",32,"1,445",2.2%
3,"岩手
※３※６",4,"1,567",0.3%
4,"宮城
※３",165,"6,042",2.7%
5,秋田,18,"1,146",1.6%
6,山形,76,"2,918",2.6%
7,"福島
※３",89,"10,027",0.9%
8,茨城,322,"7,081",4.5%
9,"栃木
※３",195,"13,811",1.4%
10,"群馬
※３※６",192,"8,361",2.3%
11,埼玉,"2,461","66,715",3.7%
12,千葉,"1,780","29,050",6.1%
13,"東京
※１","13,455","191,114",7.0%
14,神奈川,"2,615","18,126",14.4%
15,"新潟
※３",116,"6,619",1.8%
16,"富山
※６",244,"5,323",4.6%
17,"石川
※３",323,"3,283",9.8%
18,"福井
※３",140,"4,976",2.8%
19,"山梨
※３",94,"7,260",1.3%
20,"長野
※６",117,"7,631",1.5%
21,"岐阜
※６",351,"10,835",3.2%
22,"静岡
※３、５",269,"13,280",2.0%
23,愛知,"1,977","22,910",8.6%
24,"三重
※３",112,"4,424",2.5%
