,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３※６",471,"10,706",4.4%
2,京都,"1,624","36,630",4.4%
3,"大阪
※３※６","9,636","159,267",6.1%
4,"兵庫
※３,４,6","2,470","49,817",5.0%
5,"奈良
※６",546,"18,481",3.0%
6,和歌山,236,"8,918",2.6%
7,"鳥取
※３",32,"4,683",0.7%
8,"島根
※６",137,"5,215",2.6%
9,岡山,147,"7,511",2.0%
10,"広島
※３",468,"18,987",2.5%
11,山口,194,"8,252",2.4%
12,"徳島
※３",147,"6,636",2.2%
13,"香川
※６",89,"9,497",0.9%
14,愛媛,114,"3,938",2.9%
15,高知,137,"3,319",4.1%
16,福岡,"4,948","44,991",11.0%
17,"佐賀
※３",244,"5,532",4.4%
18,長崎,236,"16,492",1.4%
19,熊本,569,"13,039",4.4%
20,大分,158,"14,529",1.1%
21,宮崎,342,"8,331",4.1%
22,鹿児島,372,"17,221",2.2%
23,"沖縄
※３","2,294","32,570",7.0%
24,"長崎船
※２
その他",149,0,-
25,合計,"75,093","1,555,861",4.8%
