,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,386","26,866",5.2%
2,"青森
※３",31,"1,317",2.4%
3,"岩手
※３※６",0,"1,290",0.0%
4,"宮城
※３",140,"5,557",2.5%
5,秋田,18,"1,054",1.7%
6,山形,75,"2,856",2.6%
7,"福島
※３",86,"9,081",0.9%
8,茨城,242,"6,442",3.8%
9,"栃木
※３",159,"12,070",1.3%
10,"群馬
※３※６",179,"7,371",2.4%
11,埼玉,"2,068","56,624",3.7%
12,千葉,"1,475","26,147",5.6%
13,"東京
※１","11,214","156,867",7.1%
14,神奈川,"2,239","16,219",13.8%
15,"新潟
※３",92,"5,858",1.6%
16,"富山
※６",235,"4,874",4.8%
17,"石川
※３",313,"3,149",9.9%
18,"福井
※３",129,"4,583",2.8%
19,"山梨
※３",85,"6,805",1.2%
20,"長野
※３※６",92,"5,737",1.6%
21,"岐阜
※６",231,"8,749",2.6%
22,"静岡
※３、５",119,"10,472",1.1%
23,愛知,"1,010","16,828",6.0%
24,"三重
※３",65,"3,633",1.8%
