,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,"滋賀
※5※6",672,"14,966",4.5%
2,京都,"2,296","57,297",4.0%
3,"大阪
※3※5","15,494","272,190",5.7%
4,"※3※4※5
兵庫","3,974","78,033",5.1%
5,"奈良
※5",858,"28,118",3.1%
6,和歌山,333,"11,350",2.9%
7,"鳥取
※3",52,"6,145",0.8%
8,"島根
※5",141,"6,354",2.2%
9,"岡山
※4",399,"14,762",2.7%
10,"広島
※3",701,"30,258",2.3%
11,"山口
※4",267,"12,510",2.1%
12,"徳島
※3",171,"7,665",2.2%
13,"香川
※5",115,"15,083",0.8%
14,愛媛,130,"4,643",2.8%
15,高知,144,"3,690",3.9%
16,"※3※4※5
福岡","5,387","180,556",3.0%
17,"佐賀
※3",279,"8,136",3.4%
18,⾧崎,251,"24,657",1.0%
19,熊本,915,"21,896",4.2%
20,大分,168,"23,108",0.7%
21,宮崎,374,"8,836",4.2%
22,鹿児島,558,"24,895",2.2%
23,"沖縄
※3","3,768","65,248",5.8%
24,"⾧崎船
※2
その他",149,0,-
25,合計,"117,960","2,769,733",4.3%
