,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３※６",108,"3,131",3.4%
2,京都,477,"13,115",3.6%
3,"大阪
※３※６","2,126","49,535",4.3%
4,"兵庫
※３、４",760,"17,829",4.3%
5,"奈良
※６",138,"5,045",2.7%
6,和歌山,84,"4,826",1.7%
7,"鳥取
※３",5,"2,172",0.2%
8,"島根
※６",25,"1,405",1.8%
9,岡山,32,"2,094",1.5%
10,"広島
※３",192,"8,633",2.2%
11,山口,38,"2,828",1.3%
12,"徳島
※３",10,"1,293",0.8%
13,"香川
※６",42,"3,287",1.3%
14,愛媛,82,"2,704",3.0%
15,高知,76,"2,089",3.6%
16,福岡,937,"18,558",5.0%
17,"佐賀
※３",47,"1,747",2.7%
18,長崎,32,"4,424",0.7%
19,熊本,49,"4,508",1.1%
20,大分,60,"5,589",1.1%
21,宮崎,20,"1,759",1.1%
22,鹿児島,162,"8,023",2.0%
23,沖縄,149,"3,414",4.4%
24,"長崎船
※２
その他",149,-,-
25,合計,"23,029","516,470",4.5%
