,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,039","12,072",8.6%
2,"青森
※３,４",27,813,3.3%
3,"岩手
※３",0,602,0.0%
4,"宮城
※３",88,"2,835",3.1%
5,秋田,16,920,1.7%
6,"山形
※３",69,"2,620",2.6%
7,"福島
※３",81,"3,840",2.1%
8,茨城,168,"4,469",3.8%
9,"栃木
※３",64,"3,433",1.9%
10,"群馬
※３",149,"3,449",4.3%
11,埼玉,999,"18,197",5.5%
12,千葉,904,"13,872",6.5%
13,"東京
※１","5,152","14,653",35.2%
14,神奈川,"1,322","8,780",15.1%
15,"新潟
※３",83,"3,994",2.1%
16,富山,227,"3,067",7.4%
17,"石川
※３",295,"2,612",11.3%
18,"福井
※３",122,"2,474",4.9%
19,"山梨
※３",60,"3,602",1.7%
20,"⾧野
※３",76,"2,589",2.9%
21,岐阜,150,"3,195",4.7%
22,静岡,75,"3,423",2.2%
23,愛知,506,"9,525",5.3%
24,"三重
※３",45,"2,456",1.8%
