,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３※６",273,"5,275",5.2%
2,京都,923,"20,966",4.4%
3,"大阪
※３※６","5,396","87,307",6.2%
4,"兵庫
※３,４,6","1,484","30,276",4.9%
5,"奈良
※６",302,"9,920",3.0%
6,和歌山,173,"6,799",2.5%
7,"鳥取
※３",21,"3,960",0.5%
8,"島根
※６",29,"3,045",1.0%
9,岡山,107,"3,328",3.2%
10,"広島
※３",393,"14,241",2.8%
11,山口,64,"4,232",1.5%
12,"徳島
※３",55,"2,584",2.1%
13,"香川
※６",57,"5,169",1.1%
14,愛媛,100,"3,183",3.1%
15,高知,83,"2,365",3.5%
16,福岡,"2,614","28,979",9.0%
17,"佐賀
※３",141,"3,262",4.3%
18,⾧崎,149,"8,801",1.7%
19,熊本,332,"7,142",4.6%
20,大分,78,"7,718",1.0%
21,宮崎,208,"5,940",3.5%
22,鹿児島,273,"11,730",2.3%
23,"沖縄
※３",884,"11,078",8.0%
24,"⾧崎船
※２
その他",149,-,-
25,合計,"44,770","853,658",5.2%
